本科以上,本科以下,Sector,Total demands,Unlimited,month,total_monthes
14,11,Education,269,7,8,24
11,21,Electronics/appliances/semiconductor/instrumentation,94,4,8,24
28,63,Engineering/machinery/energy,506,23,8,24
5,53,Graduates,658,18,8,24
9,86,HR,361,31,8,24
2,7,Hospital/medical/care,54,6,8,24
0,3,IT-Management,4,1,8,24
5,14,"IT-QM, technical support and more",72,10,8,24
3,13,Insurance,74,1,8,24
1,25,Internet development and application,64,2,8,24
2,0,Legal profession/law,7,1,8,24
1,5,Literature/screenwriting/writing,18,0,8,24
0,0,"Movies, TV and recreation",215,7,8,24
3,11,Procurement,23,2,8,24
6,100,Sales management,1048,78,8,24
10,10,Securities/finance/investment,123,2,8,24
0,0,Security/housekeeping/other,161,23,8,24
15,11,Senior management,46,1,8,24
4,15,Trade,98,3,8,24
0,28,Beauty and personal care,295,5,8,24
1,17,Hotels/tourism,163,12,8,24
26,179,Office administration/logistics,548,66,8,24
7,150,Finance/auditing/tax,351,31,8,24
0,19,Property management,281,33,8,24
0,10,Real property,1509,26,8,24
2,195,Sales,3062,123,8,24
9,116,market/marketing,1183,54,8,24
3,33,QMS/safety/environmental protection,112,5,8,24
2,56,Production/operation,332,20,8,24
0,35,Restaurants & recreation,1105,90,8,24
14,67,Other,968,44,8,24
1,111,General merchandise/chains/retail,1241,30,8,24
0,13,Transportation service,82,16,8,24
2,74,Logistics/warehousing,562,28,8,24
0,122,Technical work,2360,131,8,24
15,19,Biology/chemicals/pharmaceuticals/medical equipment,141,5,8,24
2,101,,1526,60,6,34
5,31,Advertising,81,3,6,34
6,45,Art/graphics/Animation design,159,13,6,34
0,9,Banking,101,0,6,34
0,1,Communications technology,12,1,6,34
0,1,Computer hardware,13,4,6,34
5,4,Computer software,34,2,6,34
17,140,Construction/infrastructure/gardening,1003,31,6,34
8,21,Counsel/consulting,405,23,6,34
19,20,Education,207,5,6,34
19,78,Engineering/machinery/energy,666,39,6,34
0,0,Fashion/textile/furs,150,3,6,34
8,95,Finance/auditing/tax,227,34,6,34
3,25,Graduates,424,17,6,34
5,75,HR,217,39,6,34
0,4,Hospital/medical/care,12,0,6,34
0,12,Hotels/tourism,151,43,6,34
0,12,IT-Management,28,2,6,34
0,22,"IT-QM, technical support and more",484,17,6,34
3,17,Insurance,176,5,6,34
2,34,Internet development and application,108,8,6,34
7,2,Legal profession/law,43,0,6,34
1,6,Literature/screenwriting/writing,36,4,6,34
0,2,"Movies, TV and recreation",31,4,6,34
17,218,Office administration/logistics,943,91,6,34
0,1,PRs and news media,4,2,6,34
0,28,Procurement,51,4,6,34
0,36,QMS/safety/environmental protection,100,3,6,34
16,32,Real property,2577,68,6,34
22,158,Sales management,1343,117,6,34
8,0,Science & Technology,28,0,6,34
0,23,Securities/finance/investment,160,1,6,34
2,8,Senior management,23,2,6,34
9,3,Trade,24,1,6,34
1,0,Translation,3,0,6,34
0,74,Customer service and technical support,988,38,6,34
0,5,Transportation service,121,20,6,34
1,27,Electronics/appliances/semiconductor/instrumentation,161,5,6,34
10,275,Sales,4693,252,6,34
0,19,Production/operation,280,3,6,34
0,12,Beauty and personal care,83,0,6,34
0,41,Security/housekeeping/other,644,23,6,34
2,53,Other,503,50,6,34
0,37,Property management,269,27,6,34
0,35,General merchandise/chains/retail,369,13,6,34
0,82,Logistics/warehousing,326,33,6,34
0,133,Technical work,2075,90,6,34
0,75,Restaurants & recreation,2266,180,6,34
29,155,market/marketing,2136,119,6,34
6,21,Biology/chemicals/pharmaceuticals/medical equipment,157,7,6,34
8,72,,1145,35,7,35
3,23,Advertising,51,0,7,35
6,28,Art/graphics/Animation design,166,12,7,35
0,13,Banking,195,0,7,35
0,4,Communications technology,51,0,7,35
2,5,Computer hardware,33,2,7,35
24,140,Construction/infrastructure/gardening,815,38,7,35
1,9,Counsel/consulting,185,19,7,35
26,58,Engineering/machinery/energy,463,14,7,35
0,0,Fashion/textile/furs,124,5,7,35
17,92,Finance/auditing/tax,230,24,7,35
10,45,HR,151,22,7,35
0,4,Hospital/medical/care,35,5,7,35
1,9,IT-Management,54,8,7,35
4,12,"IT-QM, technical support and more",82,0,7,35
0,9,Insurance,63,0,7,35
3,23,Internet development and application,45,0,7,35
3,0,Legal profession/law,4,0,7,35
0,3,Literature/screenwriting/writing,15,6,7,35
1,9,"Movies, TV and recreation",407,0,7,35
1,1,PRs and news media,13,0,7,35
3,20,Procurement,38,1,7,35
0,18,Property management,117,19,7,35
3,13,Real property,674,28,7,35
20,190,Sales management,1381,86,7,35
1,5,Securities/finance/investment,67,0,7,35
0,0,Security/housekeeping/other,152,41,7,35
7,9,Trade,48,0,7,35
0,23,General merchandise/chains/retail,767,34,7,35
2,29,Production/operation,291,8,7,35
3,31,QMS/safety/environmental protection,90,1,7,35
8,254,Sales,3649,182,7,35
0,9,Beauty and personal care,141,3,7,35
2,28,Electronics/appliances/semiconductor/instrumentation,108,6,7,35
0,68,Customer service and technical support,1016,26,7,35
4,56,Other,1010,47,7,35
0,27,Restaurants & recreation,2178,181,7,35
0,12,Transportation service,117,23,7,35
0,14,Hotels/tourism,66,9,7,35
1,57,Technical work,1099,108,7,35
0,73,Logistics/warehousing,417,67,7,35
8,0,Science & Technology,32,0,7,35
4,0,Senior management,7,2,7,35
20,176,market/marketing,2494,96,7,35
14,159,Office administration/logistics,531,41,7,35
23,12,Computer software,127,2,7,35
20,8,Biology/chemicals/pharmaceuticals/medical equipment,154,12,7,35
9,105,,2052,36,8,36
8,22,Advertising,63,2,8,36
1,34,Art/graphics/Animation design,100,11,8,36
0,3,Banking,32,0,8,36
0,0,Beauty and personal care,553,23,8,36
0,9,Communications technology,86,2,8,36
0,4,Computer hardware,40,0,8,36
15,16,Computer software,132,2,8,36
17,124,Construction/infrastructure/gardening,949,56,8,36
1,12,Counsel/consulting,124,11,8,36
0,60,Customer service and technical support,1001,38,8,36
17,34,Education,287,13,8,36
12,75,Electronics/appliances/semiconductor/instrumentation,432,7,8,36
0,0,Fashion/textile/furs,100,5,8,36
29,97,Finance/auditing/tax,305,25,8,36
15,23,Graduates,461,16,8,36
7,46,HR,206,33,8,36
4,7,Hospital/medical/care,85,0,8,36
0,24,Hotels/tourism,149,29,8,36
0,8,IT-Management,42,2,8,36
0,7,"IT-QM, technical support and more",21,1,8,36
2,24,Insurance,181,6,8,36
2,20,Internet development and application,50,8,8,36
1,2,Legal profession/law,3,0,8,36
0,4,Literature/screenwriting/writing,20,10,8,36
0,0,"Movies, TV and recreation",2,1,8,36
4,159,Office administration/logistics,516,35,8,36
0,2,PRs and news media,8,1,8,36
0,18,Procurement,63,5,8,36
0,17,Property management,183,23,8,36
0,52,Real property,1349,30,8,36
2,0,Science & Technology,10,0,8,36
9,6,Securities/finance/investment,168,2,8,36
1,2,Senior management,17,4,8,36
11,60,Engineering/machinery/energy,354,18,8,36
5,125,Sales management,1298,117,8,36
0,2,Security/housekeeping/other,230,56,8,36
1,6,Trade,26,1,8,36
1,42,QMS/safety/environmental protection,122,1,8,36
1,256,Sales,4572,240,8,36
7,164,market/marketing,2169,119,8,36
4,64,Other,667,63,8,36
0,44,Production/operation,687,17,8,36
0,13,Transportation service,675,41,8,36
0,32,Restaurants & recreation,928,106,8,36
1,59,Logistics/warehousing,451,96,8,36
0,53,Technical work,1374,137,8,36
0,135,General merchandise/chains/retail,2966,41,8,36
6,19,Biology/chemicals/pharmaceuticals/medical equipment,161,4,8,36
18,16,Education,560,4,7,35
10,19,Graduates,446,20,7,35
1,36,,398,16,12,28
0,1,Advertising,1,0,12,28
2,48,Art/graphics/Animation design,185,12,12,28
0,9,Banking,64,1,12,28
0,0,Beauty and personal care,50,4,12,28
2,1,Computer hardware,12,0,12,28
3,32,Computer software,224,0,12,28
13,21,Construction/infrastructure/gardening,222,4,12,28
0,3,Counsel/consulting,54,3,12,28
0,42,Customer service and technical support,333,10,12,28
14,1,Education,102,8,12,28
4,11,Electronics/appliances/semiconductor/instrumentation,167,16,12,28
3,43,Engineering/machinery/energy,298,4,12,28
6,44,Finance/auditing/tax,127,16,12,28
0,6,Graduates,38,0,12,28
9,28,HR,109,5,12,28
0,22,Hospital/medical/care,91,1,12,28
0,0,Hotels/tourism,4,1,12,28
0,1,IT-Management,1,0,12,28
0,1,"IT-QM, technical support and more",1,0,12,28
0,11,Insurance,37,0,12,28
4,2,Internet development and application,195,6,12,28
1,0,Legal profession/law,1,0,12,28
4,3,Literature/screenwriting/writing,35,2,12,28
0,31,Logistics/warehousing,119,14,12,28
12,50,Office administration/logistics,231,35,12,28
0,3,PRs and news media,32,2,12,28
0,3,Procurement,12,2,12,28
0,8,Property management,187,19,12,28
2,9,QMS/safety/environmental protection,41,0,12,28
0,5,Real property,646,14,12,28
7,60,Sales management,1196,52,12,28
1,4,Science & Technology,28,2,12,28
2,4,Securities/finance/investment,90,1,12,28
0,1,Security/housekeeping/other,112,11,12,28
2,2,Senior management,69,3,12,28
0,4,Trade,35,0,12,28
1,0,Translation,3,0,12,28
0,63,market/marketing,445,27,12,28
1,17,Production/operation,83,7,12,28
0,4,Transportation service,79,14,12,28
2,88,Sales,1445,60,12,28
0,9,Restaurants & recreation,642,69,12,28
0,18,General merchandise/chains/retail,377,32,12,28
2,24,Other,248,19,12,28
0,28,Technical work,594,41,12,28
1,16,Biology/chemicals/pharmaceuticals/medical equipment,50,3,12,28
0,13,,207,19,1,29
0,5,Art/graphics/Animation design,26,1,1,29
0,2,Banking,30,0,1,29
1,4,Biology/chemicals/pharmaceuticals/medical equipment,64,1,1,29
0,1,Computer software,1,0,1,29
3,8,Construction/infrastructure/gardening,117,9,1,29
0,17,Customer service and technical support,126,6,1,29
0,9,Education,56,0,1,29
7,1,Electronics/appliances/semiconductor/instrumentation,43,4,1,29
8,18,Engineering/machinery/energy,173,4,1,29
3,26,Finance/auditing/tax,56,2,1,29
0,6,Graduates,59,2,1,29
1,25,HR,56,4,1,29
0,2,Hospital/medical/care,62,2,1,29
0,2,Hotels/tourism,42,8,1,29
0,2,Internet development and application,6,0,1,29
0,8,Logistics/warehousing,57,13,1,29
2,27,Office administration/logistics,91,4,1,29
0,2,PRs and news media,8,0,1,29
0,2,Procurement,3,0,1,29
0,8,Property management,39,4,1,29
2,6,QMS/safety/environmental protection,43,2,1,29
0,0,Real property,180,3,1,29
0,3,Restaurants & recreation,399,62,1,29
2,28,Sales,767,36,1,29
5,39,Sales management,328,9,1,29
0,1,Securities/finance/investment,20,0,1,29
2,0,Senior management,2,0,1,29
2,0,Trade,19,3,1,29
3,0,Translation,9,0,1,29
0,26,market/marketing,306,17,1,29
0,1,Security/housekeeping/other,73,3,1,29
5,4,Production/operation,56,3,1,29
0,26,General merchandise/chains/retail,289,9,1,29
0,13,Technical work,473,42,1,29
0,16,Other,168,11,1,29
0,6,Transportation service,43,5,1,29
2,0,Science & Technology,6,0,1,29
10,117,,1098,38,2,30
1,8,Advertising,46,9,2,30
2,80,Art/graphics/Animation design,306,16,2,30
0,4,Banking,40,0,2,30
0,2,Beauty and personal care,191,22,2,30
0,2,Communications technology,6,0,2,30
5,13,Computer software,52,6,2,30
13,56,Construction/infrastructure/gardening,685,18,2,30
6,17,Electronics/appliances/semiconductor/instrumentation,819,32,2,30
25,49,Engineering/machinery/energy,424,14,2,30
21,122,Finance/auditing/tax,302,34,2,30
1,20,Graduates,196,5,2,30
20,82,HR,273,11,2,30
2,6,IT-Management,12,0,2,30
2,15,"IT-QM, technical support and more",71,6,2,30
4,26,Insurance,386,0,2,30
3,16,Internet development and application,50,2,2,30
0,2,Legal profession/law,4,0,2,30
3,4,Literature/screenwriting/writing,30,2,2,30
2,4,"Movies, TV and recreation",15,0,2,30
19,179,Office administration/logistics,535,51,2,30
0,0,PRs and news media,2,1,2,30
4,28,Procurement,75,7,2,30
2,20,Property management,161,11,2,30
1,38,QMS/safety/environmental protection,113,5,2,30
0,12,Real property,560,16,2,30
1,146,Sales,2453,129,2,30
0,4,Science & Technology,16,0,2,30
0,10,Securities/finance/investment,114,0,2,30
7,6,Senior management,29,2,2,30
0,15,Trade,115,7,2,30
4,17,Counsel/consulting,270,9,2,30
0,16,Hospital/medical/care,98,2,2,30
0,26,Hotels/tourism,187,26,2,30
3,27,Restaurants & recreation,818,96,2,30
21,137,Sales management,1404,85,2,30
5,147,market/marketing,1520,72,2,30
0,31,General merchandise/chains/retail,305,7,2,30
2,97,Customer service and technical support,921,24,2,30
0,5,Security/housekeeping/other,281,11,2,30
2,73,Logistics/warehousing,535,65,2,30
0,14,Transportation service,156,20,2,30
2,47,Production/operation,189,12,2,30
0,91,Technical work,2606,141,2,30
5,6,Biology/chemicals/pharmaceuticals/medical equipment,80,0,2,30
35,7,Education,257,3,2,30
15,78,Other,1021,57,2,30
18,23,Counsel/consulting,361,14,5,33
